wotaid,sotaid,book,name,height,reference,humpid,gridid,x,y,lat,long
169,NULL,NW,Broom Fell,511,NY194271,NULL,IO84JP,319400,527100,54.632565,-3.2501226
170,NULL,FE,Beda Fell,509,NY428171,NULL,IO84NN,342800,517100,54.545908,-2.8857299
171,NULL,W,Hen Comb,509,NY132181,30,IO84HN,313200,518100,54.550677,-3.3434762
172,NULL,E,Low Pike,508,NY373078,NULL,IO84ML,337300,507800,54.461689,-2.9687584
173,37,E,Little Mell Fell,505,NY423240,NULL,IO84NO,342300,524000,54.607852,-2.8948158
174,NULL,N,Dodd,502,NY243272,15,IO84JP,324300,527200,54.634223,-3.1742590
175,NULL,E,Stone Arthur,500,NY347092,NULL,IO84LL,334700,509200,54.473941,-3.0091705
176,NULL,S,Green Crag,489,SD200982,25,IO84JI,320000,498200,54.373000,-3.2329856
177,NULL,W,Grike,488,NY084140,NULL,IO84HM,308400,514000,54.512995,-3.4163853
178,NULL,FE,Wansfell (Baystones),487,NY403052,54,IO84MK,340300,505200,54.438688,-2.9219602
179,NULL,N,Longlands Fell,483,NY275354,NULL,IO84KR,327500,535400,54.708370,-3.1267340
180,NULL,FE,Sour Howes,483,NY428032,NULL,IO84NJ,342800,503200,54.421004,-2.8830338
181,NULL,E,Gowbarrow Fell,481,NY407218,NULL,IO84MO,340700,521800,54.587898,-2.9191377
182,NULL,C,Armboth Fell,479,NY296159,NULL,IO84KM,329600,515900,54.533459,-3.0894555
183,NULL,W,Burnbank Fell,475,NY109209,NULL,IO84HN,310900,520900,54.575432,-3.3798733
184,40,S,Lingmoor Fell,469,NY302046,NULL,IO84LK,330200,504600,54.432008,-3.0775116
185,NULL,NW,Barf,468,NY214267,NULL,IO84JP,321400,526700,54.629287,-3.2190402
186,NULL,C,Raven Crag,461,NY303187,NULL,IO84LN,330300,518700,54.558715,-3.0793041
187,NULL,NW,Graystones,456,NY177264,NULL,IO84IP,317700,526400,54.626001,-3.2762538
188,NULL,NW,Barrow,455,NY227218,NULL,IO84JO,322700,521800,54.585462,-3.1976145
189,NULL,NW,Catbells,451,NY244198,NULL,IO84JN,324400,519800,54.567750,-3.1708004
190,41,N,Binsey,447,NY225355,NULL,IO84JR,322500,535500,54.708522,-3.2043431
191,NULL,E,Glenridding Dodd,442,NY380175,NULL,IO84MN,338000,517500,54.548936,-2.9600032
192,NULL,C,Great Crag,440,NY270146,NULL,IO84KM,327000,514600,54.521410,-3.1293042
193,NULL,E,Nab Scar,440,NY355072,NULL,IO84MK,335500,507200,54.456072,-2.9963908
194,NULL,E,Arnison Crag,433,NY393149,NULL,IO84MM,339300,514900,54.525731,-2.9393720
195,NULL,FE,Steel Knotts,432,NY440181,NULL,IO84NN,344000,518100,54.555028,-2.8673730
196,42,W,Low Fell,428,NY137226,NULL,IO84HO,313700,522600,54.591192,-3.3370713
197,NULL,W,Buckbarrow,420,NY135061,NULL,IO84HK,313500,506100,54.442914,-3.3353193
198,NULL,C,Gibson Knott,420,NY318099,NULL,IO84LL,331800,509900,54.479848,-3.0540747
199,NULL,W,Fellbarrow,416,NY132242,NULL,IO84HO,313200,524200,54.605481,-3.3452808
200,NULL,C,Grange Fell,410,NY264162,NULL,IO84KM,326400,516200,54.535699,-3.1389719
201,NULL,C,Helm Crag,405,NY326093,NULL,IO84LL,332600,509300,54.474564,-3.0415931
202,NULL,C,Silver How,394,NY324066,NULL,IO84LK,332400,506600,54.450277,-3.0440609
203,43,FE,Hallin Fell,388,NY433198,NULL,IO84NN,343300,519800,54.570225,-2.8785233
204,NULL,C,Walla Crag,379,NY276212,NULL,IO84KN,327600,521200,54.580798,-3.1216630
205,NULL,NW,Ling Fell,373,NY179285,NULL,IO84IP,317900,528500,54.644901,-3.2737466
206,NULL,N,Latrigg,368,NY278246,NULL,IO84KO,327800,524600,54.611376,-3.1194071
207,NULL,FE,Troutbeck Tongue,364,NY422063,NULL,IO84NK,342200,506300,54.448793,-2.8928851
208,NULL,NW,Sale Fell,359,NY194296,42,IO84JP,319400,529600,54.655026,-3.2508122
209,NULL,NW,Rannerdale Knotts,355,NY167182,NULL,IO84IN,316700,518200,54.552164,-3.2894086
210,44,C,High Rigg,354,NY308219,NULL,IO84LO,330800,521900,54.587536,-3.0723287
211,47,C,Loughrigg Fell,335,NY346051,NULL,IO84LK,334600,505100,54.437087,-3.0098059
212,NULL,S,Black Fell,323,NY340015,5,IO84LJ,334000,501500,54.404661,-3.0182523
213,51,S,Holme Fell,317,NY315006,NULL,IO84LJ,331500,500600,54.396243,-3.0565504
214,NULL,NW,Castle Crag,290,NY249159,NULL,IO84KM,324900,515900,54.532783,-3.1620720
215,NULL,OF,Walna Scar,621,SD257963,NULL,IO84KI,325700,496300,54.356792,-3.1447878
216,30,OF,Black Combe,600,SD135854,NULL,IO84IG,313500,485400,54.256931,-3.3293012
217,NULL,OF,Great Yarlside,591,NY525075,NULL,IO84PK,352500,507500,54.460646,-2.7342503
218,NULL,OF,Howes,583,NY499104,NULL,IO84OL,349900,510400,54.486455,-2.7748468
219,32,OF,Whitfell,573,SD158929,NULL,IO84IH,315800,492900,54.324702,-3.2961206
220,NULL,OF,Wasdale Pike,565,NY536084,NULL,IO84PL,353600,508400,54.468835,-2.7174246
221,NULL,OF,Great Saddle Crag,560,NY526086,NULL,IO84PL,352600,508600,54.470540,-2.7328845
222,NULL,OF,Swinklebank Crag (Ancrow Brow),554,NY500049,NULL,IO84OK,350000,504900,54.437041,-2.7723718
223,NULL,OF,Buck Barrow,549,SD151910,NULL,IO84IH,315100,491000,54.307515,-3.3063393
224,NULL,OF,Burn Moor,543,SD151924,NULL,IO84IH,315100,492400,54.320094,-3.3067379
225,NULL,OF,Ancrow Brow N. Top (Bannisdale Fell),541,NY503059,NULL,IO84OK,350300,505900,54.446057,-2.7679152
226,NULL,OF,Kinmont Buck Barrow,535,SD146909,NULL,IO84IH,314600,490900,54.306533,-3.3139930
227,NULL,OF,High Wether Howe,531,NY515109,NULL,IO84PL,351500,510900,54.491104,-2.7502341
228,NULL,OF,White Howe,530,NY523041,NULL,IO84PK,352300,504100,54.430074,-2.7367864
229,NULL,OF,Caw,529,SD230944,9,IO84JI,323000,494400,54.339319,-3.1858323
230,NULL,OF,The Forest (Borrowdale Head),528,NY527035,NULL,IO84PK,352700,503500,54.424719,-2.7305251
231,NULL,OF,Lord's Seat (Crookdale  High House Fell),524,NY518066,NULL,IO84PK,351800,506600,54.452492,-2.7449007
232,NULL,OF,Little Yarlside,516,NY530071,NULL,IO84PK,353000,507100,54.457098,-2.7264742
233,NULL,OF,Seat Robert,515,NY526114,NULL,IO84PL,352600,511400,54.495701,-2.7333347
234,NULL,OF,Capplebarrow,512,NY508035,NULL,IO84OK,350800,503500,54.424539,-2.7598063
235,NULL,OF,Fewling Stones,508,NY513118,NULL,IO84OL,351300,511800,54.499172,-2.7534701
236,NULL,OF,Sleddale Pike,506,NY535094,NULL,IO84PL,353500,509400,54.477812,-2.7191250
237,NULL,OF,Hare Shaw,503,NY497131,NULL,IO84OM,349700,513100,54.510698,-2.7783947
238,NULL,OF,Ulthwaite Rigg,502,NY514093,NULL,IO84OL,351400,509300,54.476716,-2.7515139
239,NULL,OF,Stainton Pike,498,SD152942,NULL,IO84II,315200,494200,54.336283,-3.3057133
240,NULL,OF,High House Bank,495,NY543048,NULL,IO84PK,354300,504800,54.436548,-2.7060679
241,NULL,OF,Yoadcastle,494,SD156952,NULL,IO84II,315600,495200,54.345334,-3.2998467
242,NULL,OF,Long Crag (Bannisdale),493,NY516054,NULL,IO84PK,351600,505400,54.441689,-2.7477884
243,NULL,OF,Robin Hood,493,NY530058,NULL,IO84PK,353000,505800,54.445416,-2.7262674
244,NULL,OF,Nabs Moor,492,NY503111,NULL,IO84OL,350300,511100,54.492785,-2.7687911
245,NULL,OF,Woodend Height,487,SD156954,NULL,IO84II,315600,495400,54.347131,-3.2999034
246,NULL,OF,Whatshaw Common,485,NY541061,NULL,IO84PK,354100,506100,54.448212,-2.7093530
247,NULL,OF,Hesk Fell,477,SD176946,31,IO84II,317600,494600,54.340271,-3.2689226
248,NULL,OF,Stoupdale Head,472,SD151873,NULL,IO84IG,315100,487300,54.274271,-3.3052873
249,NULL,OF,Pikes,469,SD237947,NULL,IO84JI,323700,494700,54.342120,-3.1751451
250,NULL,OF,White Pike (Birkby Fell),442,SD150956,NULL,IO84II,315000,495600,54.348829,-3.3091882
251,NULL,OF,Great Ladstones,440,NY532122,NULL,IO84PM,353200,512200,54.502946,-2.7241991
252,NULL,OF,Naddle Horseshoe 1 (Naddle High Forest),435,NY492143,NULL,IO84OM,349200,514300,54.521431,-2.7863236
253,NULL,OF,Naddle Horseshoe 2 (Wallow Crag),435,NY496149,NULL,IO84OM,349600,514900,54.526862,-2.7802474
254,NULL,OF,Brunt Knott,427,NY484006,NULL,IO84OJ,348400,500600,54.398240,-2.7962873
255,NULL,OF,Great Worm Crag,427,SD193968,NULL,IO84JI,319300,496800,54.360310,-3.2433781
256,NULL,OF,Hollow Moor (Green Quarter Fell),426,NY468039,NULL,IO84OK,346800,503900,54.427729,-2.8215218
257,NULL,OF,Green Pikes,420,SD236950,NULL,IO84JI,323600,495000,54.344800,-3.1767599
258,NULL,OF,White Combe,417,SD154862,NULL,IO84IG,315400,486200,54.264437,-3.3003703
259,NULL,OF,Harper Hills,415,NY510144,NULL,IO84OM,351000,514400,54.522507,-2.7585347
260,NULL,OF,Hugh's Laithes Pike,415,NY502151,NULL,IO84OM,350200,515100,54.528719,-2.7710116
261,NULL,OF,Green Quarter Fell,411,NY473042,NULL,IO84OK,347300,504200,54.430477,-2.8138692
262,NULL,OF,Todd Fell,401,NY512020,NULL,IO84OJ,351200,502000,54.411098,-2.7533946
263,NULL,OF,Langhowe Pike,400,NY528134,NULL,IO84PM,352800,513400,54.513692,-2.7305678
264,NULL,OF,Whiteside Pike,397,NY520015,NULL,IO84PJ,352000,501500,54.406681,-2.7409887
265,NULL,OF,Naddle Horseshoe 3,395,NY505152,NULL,IO84OM,350500,515200,54.529647,-2.7663934
266,NULL,OF,Potter Fell 1,395,SD489998,NULL,IO84OJ,348900,499800,54.391102,-2.7884489
267,NULL,OF,Potter Fell 2,390,NY496003,NULL,IO84OJ,349600,500300,54.395665,-2.7777549
268,NULL,OF,Heughscar Hill,375,NY488231,NULL,IO84OO,348800,523100,54.600467,-2.7940380
269,NULL,OF,Stickle Pike,375,SD212928,47,IO84JH,321200,492800,54.324667,-3.2130877
270,NULL,OF,The Pike,370,SD186934,NULL,IO84IH,318600,493400,54.329650,-3.2532174
271,NULL,OF,Lamb Pasture,367,NY534021,NULL,IO84PJ,353400,502100,54.412203,-2.7195168
272,NULL,OF,Stickle Pike (Raven's Crag),361,SD223929,NULL,IO84JH,322300,492900,54.325735,-3.1962050
273,45,OF,Dent,345,NY037130,NULL,IO84GM,303700,513000,54.503139,-3.4886293
274,NULL,OF,Faulds Brow,344,NY299407,NULL,IO84KS,329900,540700,54.756330,-3.0907719
275,NULL,OF,Knipescar Common,342,NY526191,NULL,IO84PN,352600,519100,54.564894,-2.7345765
276,NULL,OF,Scalebarrow Knott,338,NY519153,NULL,IO84PM,351900,515300,54.530681,-2.7447788
277,NULL,OF,Boat How,337,NY177034,NULL,IO84IJ,317700,503400,54.419354,-3.2698237
278,48,OF,Top O'Selside,335,SD308918,NULL,IO84LH,330800,491800,54.317075,-3.0652815
279,NULL,OF,Ulgraves,332,SD511996,NULL,IO84OJ,351100,499600,54.389521,-2.7545391
280,NULL,OF,The Knott (Stainton Fell),331,SD143951,NULL,IO84OJ,314300,495100,54.344219,-3.3198102
281,50,OF,Gummers How,321,SD390884,NULL,IO84MG,339000,488400,54.287570,-2.9385514
282,NULL,OF,Rough Crag (Birker Moor),319,SD161977,NULL,IO84II,316100,497700,54.367879,-3.2928625
283,NULL,OF,Ponsonby Fell,315,NY081070,NULL,IO84GK,308100,507000,54.450051,-3.4188382
284,NULL,OF,Carron Crag,314,SD325943,NULL,IO84LI,332500,494300,54.339768,-3.0397197
285,NULL,OF,Tarn Hill,313,SD209921,NULL,IO84JH,320900,492100,54.318331,-3.2175134
286,NULL,OF,Seat How (Birker Moor),311,SD165971,NULL,IO84II,316500,497100,54.362554,-3.2865390
287,NULL,OF,Great Stickle,305,SD211915,NULL,IO84JH,321100,491500,54.312971,-3.2142808
288,NULL,OF,Water Crag,305,SD153974,NULL,IO84II,315300,497400,54.365051,-3.3050868
289,NULL,OF,Burney,298,SD260858,8,IO84KG,326000,485800,54.262489,-3.1375669
290,NULL,OF,Cold Fell,293,NY058092,NULL,IO84GL,305800,509200,54.469395,-3.4549986
291,NULL,OF,Caer Mote Hill,289,NY196371,NULL,IO84JR,319600,537100,54.722442,-3.2497825
292,NULL,OF,St Johns Hill (Caer Mote Hill),285,NY196376,NULL,IO84JR,319600,537600,54.726934,-3.2499207
293,NULL,OF,The Knott (Dunnerdale Fells),284,SD224919,NULL,IO84JH,322400,491900,54.316765,-3.1944073
294,NULL,OF,Dunnerdale Fells,280,SD207918,NULL,IO84JH,320700,491800,54.315605,-3.2205075
295,NULL,OF,High Knott,275,NY454001,NULL,IO84NJ,345400,500100,54.393434,-2.8423980
296,NULL,OF,Flat Fell,272,NY052137,NULL,IO84GM,305200,513700,54.509711,-3.4656990
297,53,OF,Claife Heights,270,SD382973,NULL,IO84MI,338200,497300,54.367449,-2.9526858
298,NULL,OF,Staveley Fell,265,SD389868,NULL,IO84MG,338900,486800,54.273181,-2.9397600
299,NULL,OF,High Light Haw,263,SD303904,NULL,IO84LH,330300,490400,54.304427,-3.0726390
300,NULL,OF,Hugill Fell,260,SD462994,NULL,IO84OJ,346200,499400,54.387229,-2.8299517
301,NULL,OF,Beacon Fell,255,SD278907,2,IO84KH,327800,490700,54.306775,-3.1111233
302,NULL,OF,Reston Scar,255,SD460988,NULL,IO84OJ,346000,498800,54.381816,-2.8329219
303,54,OF,Watch Hill (Setmurthy Common),254,NY159318,NULL,IO84IQ,315900,531800,54.674219,-3.3056806
304,NULL,OF,Grandsire,251,SD432972,NULL,IO84NI,343200,497200,54.367133,-2.8757207
305,NULL,OF,Low Light Haw,250,SD301900,NULL,IO84LH,330100,490000,54.300806,-3.0756182
306,NULL,OF,Blawith Knott,248,SD260884,NULL,IO84KG,326000,488400,54.285851,-3.1382107
307,NULL,OF,School Knott (Hag End),247,SD428967,NULL,IO84NI,342800,496700,54.362595,-2.8817801
308,NULL,OF,Clints Crag,245,NY159352,NULL,IO84IQ,315900,535200,54.704766,-3.3066619
309,NULL,OF,Latterbarrow,244,SD367991,NULL,IO84MJ,336700,499100,54.383439,-2.9761528
310,NULL,OF,Dunmallet,240,NY467246,NULL,IO84OO,346700,524600,54.613728,-2.8268134
311,NULL,OF,Newton Fell North,239,SD395842,NULL,IO84MG,339500,484200,54.249888,-2.9300215
312,NULL,OF,Orrest Head,238,SD414993,NULL,IO84NJ,341400,499300,54.385799,-2.9038355
313,NULL,OF,Tottlebank Height,236,SD269885,NULL,IO84KG,326900,488500,54.286879,-3.1244133
314,NULL,OF,Watch Hill,235,NY149318,NULL,IO84IQ,314900,531800,54.674051,-3.3211834
315,NULL,OF,Scout Scar,233,SD486919,29,IO84OH,348600,491900,54.320080,-2.7917019
316,NULL,OF,School Knott (Windermere),232,SD425974,NULL,IO84NI,342500,497400,54.368852,-2.8865318
317,55,OF,Muncaster Fell (Hooker Crag),231,SD112983,NULL,IO84HI,311200,498300,54.372438,-3.3684376
318,NULL,OF,Finsthwaite Heights,230,SD362880,NULL,IO84MG,336200,488000,54.283634,-2.9814712
319,NULL,OF,Irton Pike,229,NY120015,NULL,IO84HJ,312000,501500,54.401328,-3.3570753
320,NULL,OF,Top O'Selside-Brock Barrow,229,SD299898,NULL,IO84LH,329900,489800,54.298981,-3.0786439
321,NULL,OF,Wool Knott,223,SD272896,NULL,IO84KH,327200,489600,54.296806,-3.1200742
322,NULL,OF,Hampsfell,222,SD399793,26,IO84ME,339900,479300,54.205904,-2.9229004
323,56,OF,Lords Seat (Whitbarrow Scar),215,SD441870,NULL,IO84NG,344100,487000,54.275574,-2.8599560
324,NULL,OF,Cunswick Scar,207,SD491943,NULL,IO84OI,349100,494300,54.341698,-2.7844264
325,NULL,OF,Yew Bank,207,SD262909,NULL,IO84KH,326200,490900,54.308343,-3.1357574
326,NULL,OF,Bigland Barrow,193,SD363839,NULL,IO84MF,336300,483900,54.246804,-2.9790618
327,NULL,OF,Brant Fell,191,SD409961,NULL,IO84NI,340900,496100,54.356986,-2.9108967
328,NULL,OF,Newton Fell South (Dixon Heights),177,SD413815,NULL,IO84NF,341300,481500,54.225836,-2.9018705
329,NULL,OF,Raven's Barrow (Cartmell Fell),152,SD412879,NULL,IO84NG,341200,487900,54.283336,-2.9046624
330,NULL,OF,Humphrey Head,53,SD391738,NULL,IO84MD,339100,473800,54.156385,-2.9340486
